,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Kirakira,-10.4544,161.9205,75.97,78,98,9.42,SB,1627939277
143,Russell,32.3502,-85.1999,89.2,61,75,10.36,US,1627939328
144,Pevek,69.7008,170.3133,34.09,83,100,21.97,RU,1627939069
145,Misratah,32.3754,15.0925,85.75,56,0,9.75,LY,1627939240
146,San Lazaro,18.0387,-88.6622,89.31,69,92,5.37,BZ,1627939428
147,Saskylakh,71.9167,114.0833,62.38,71,23,5.57,RU,1627939428
148,Tianpeng,30.9866,103.9393,79.27,44,4,3.67,CN,1627939428
149,Fukuechō,32.6881,128.8419,80.85,80,38,14.2,JP,1627939429
150,Sanguéya,10.7,-14.3667,73.85,96,96,3.8,GN,1627939429
151,Ust'-Ilimsk,58.0006,102.6619,56.55,75,100,1.5,RU,1627939429
152,Havre-St-Pierre,50.2334,-63.5986,61.16,77,90,8.05,CA,1627939181
153,Chu,43.5983,73.7614,74.23,27,51,4.9,KZ,1627939430
154,East London,-33.0153,27.9116,59.76,76,79,16.78,ZA,1627939289
155,Moramanga,-18.9333,48.2,54.12,98,41,1.68,MG,1627939431
156,Sechura,-5.5569,-80.8222,76.48,57,9,17.49,PE,1627939431
157,Inta,66.0317,60.1659,54.07,86,35,6.17,RU,1627939266
158,Mahon,39.8885,4.2658,73.96,73,20,6.91,ES,1627939352
159,Fortuna,40.5982,-124.1573,94.48,71,20,1.99,US,1627939432
160,Nhulunbuy,-12.2333,136.7667,70.41,94,40,0.0,AU,1627939432
161,Belyy Yar,53.6039,91.3903,64.29,77,0,2.24,RU,1627939299
162,Barre,44.197,-72.5021,74.39,54,75,11.5,US,1627939433
163,Curup,-3.4667,102.5333,67.41,97,80,1.88,ID,1627939433
164,Mogadishu,2.0371,45.3438,76.06,84,80,17.9,SO,1627939313
165,Bellavista,-7.0561,-76.5911,87.08,53,61,0.92,PE,1627939434
166,Zárate,-34.0981,-59.0286,59.2,54,0,4.27,AR,1627939434
167,São João da Barra,-21.6403,-41.0511,69.89,76,0,11.14,BR,1627939435
168,Taoudenni,22.6783,-3.9836,94.44,32,99,22.03,ML,1627939391
169,Cacheu,12.2706,-16.1658,77.09,92,100,10.13,GW,1627939435
170,Port Blair,11.6667,92.75,81.59,83,99,21.05,IN,1627939177
171,Lebu,-37.6167,-73.65,53.83,74,29,19.89,CL,1627939392
172,Pineville,31.3224,-92.4343,79.25,88,75,0.0,US,1627939236
173,Portland,45.5234,-122.6762,97.2,43,20,1.01,US,1627938914
174,Ambon City,-3.6954,128.1814,75.34,94,40,4.61,ID,1627939249
175,Balyqshy,47.0667,51.8667,78.8,22,0,6.71,KZ,1627939437
176,Comodoro Rivadavia,-45.8667,-67.5,62.46,36,20,19.57,AR,1627939437
177,Valleyview,55.0667,-117.2859,71.64,83,100,4.61,CA,1627939438
178,Princeton,25.5384,-80.4089,86.0,85,75,0.0,US,1627939256
179,Konstantinovo,54.6628,29.2699,56.48,95,96,9.31,BY,1627939438
180,Aktash,50.3,87.7333,44.6,70,0,2.55,RU,1627939438
181,Bethel,41.3712,-73.414,80.73,53,75,10.36,US,1627939420
182,Gamba,-2.65,10.0,73.96,86,70,4.18,GA,1627939286
183,Port Lincoln,-34.7333,135.8667,51.4,61,57,21.81,AU,1627939174
184,Saint-Leu,-21.15,55.2833,65.68,70,1,2.04,RE,1627939439
185,Le Port,-20.9373,55.2919,66.61,72,8,4.54,RE,1627939326
186,Huarmey,-10.0681,-78.1522,69.19,72,3,10.76,PE,1627939178
187,College,64.8569,-147.8028,84.0,48,20,6.91,US,1627939265
188,Mahajanga,-15.7167,46.3167,71.62,83,20,3.44,MG,1627939223
189,Chāpar,26.2667,90.4667,78.71,95,100,3.33,IN,1627939441
190,Cayenne,4.9333,-52.3333,84.24,78,52,1.01,GF,1627939441
191,Quatre Cocos,-20.2078,57.7625,59.11,68,0,2.84,MU,1627939407
192,Kati,12.7441,-8.0726,78.21,85,25,3.71,ML,1627939442
193,Kavieng,-2.5744,150.7967,81.93,79,29,10.8,PG,1627939276
194,Ketchikan,55.3422,-131.6461,64.87,59,90,13.8,US,1627939443
195,Tarauacá,-8.1614,-70.7656,90.61,27,0,4.23,BR,1627939443
196,Makokou,0.5738,12.8642,69.85,95,98,2.62,GA,1627939443
197,Tuktoyaktuk,69.4541,-133.0374,50.0,87,90,9.22,CA,1627939076
198,Deniliquin,-35.5333,144.9667,44.01,97,21,8.66,AU,1627939444
199,Hithadhoo,-0.6,73.0833,81.66,71,100,6.38,MV,1627939444
200,Yazoo City,32.8551,-90.4056,83.1,93,100,4.32,US,1627939445
201,Cobija,-11.0267,-68.7692,88.92,21,1,4.56,BO,1627939445
202,Tukums,56.9669,23.1553,54.75,91,2,5.39,LV,1627939445
203,Kasongo-Lunda,-6.4667,16.8167,74.05,25,18,1.72,CD,1627939446
204,Socorro,31.6546,-106.3033,93.45,38,75,6.91,US,1627939446
205,San Jerónimo,-11.9472,-75.2829,58.96,45,35,7.78,PE,1627939447
206,Amurzet,47.6967,131.0981,71.11,84,38,5.1,RU,1627939447
207,Baruun-Urt,46.6806,113.2792,61.9,52,93,4.5,MN,1627939447
208,Mahébourg,-20.4081,57.7,59.29,88,20,8.05,MU,1627939316
209,La Reforma,25.0833,-108.05,99.75,62,26,12.21,MX,1627939448
210,Aklavik,68.2191,-135.0107,64.4,77,90,6.91,CA,1627939257
211,Oranjestad,12.524,-70.027,85.95,70,20,26.46,AW,1627939449
212,Bambous Virieux,-20.3428,57.7575,59.25,88,20,8.05,MU,1627939449
213,Shubarshi,48.5872,57.1869,83.48,28,19,8.52,KZ,1627939449
214,Bani Walid,31.7566,13.9942,83.48,33,0,8.5,LY,1627939271
215,Xining,36.6167,101.7667,57.42,94,100,2.19,CN,1627939450
216,Norman Wells,65.282,-126.8329,82.44,39,1,5.75,CA,1627939230
217,Xichang,27.8964,102.2634,63.01,73,24,2.19,CN,1627939451
218,Henties Bay,-22.116,14.2845,65.86,61,0,1.68,NA,1627939248
219,Koslan,63.4564,48.8989,55.38,95,33,3.04,RU,1627939451
220,Ca Mau,9.1769,105.15,77.59,90,96,5.59,VN,1627939451
221,Katsuura,35.1333,140.3,81.19,87,38,9.93,JP,1627939296
222,Kalemie,-5.9475,29.1947,70.56,57,0,1.72,CD,1627939452
223,General Roca,-39.0333,-67.5833,66.6,21,66,9.71,AR,1627939452
224,Belo Oriente,-19.22,-42.4836,65.73,58,11,3.24,BR,1627939453
225,Bakchar,57.0186,82.0711,56.03,95,100,3.36,RU,1627939453
226,Grand Gaube,-20.0064,57.6608,59.4,61,0,3.58,MU,1627939454
227,Beyneu,45.3167,55.2,89.19,15,0,4.65,KZ,1627939325
228,Alta Floresta,-9.8756,-56.0861,93.33,22,42,6.98,BR,1627939338
229,Ponta do Sol,32.6667,-17.1,74.01,75,10,7.4,PT,1627939099
230,Kloulklubed,7.0419,134.2556,84.02,76,74,13.73,PW,1627939341
231,Novikovo,51.1537,37.8879,67.32,85,54,6.62,RU,1627939455
232,Oktyabr'skiy,54.4815,53.471,69.91,46,86,3.56,RU,1627939455
233,Arraial do Cabo,-22.9661,-42.0278,73.36,77,0,11.5,BR,1627939260
234,Chapais,49.7834,-74.8492,64.18,51,100,10.74,CA,1627939455
235,Bedong,5.7274,100.5088,81.91,90,99,2.35,MY,1627939456
236,Richards Bay,-28.783,32.0377,64.31,83,93,3.94,ZA,1627939456
237,Beringovskiy,63.05,179.3167,44.87,95,100,11.68,RU,1627939288
238,Amuntai,-2.4177,115.2494,73.58,97,100,1.54,ID,1627939457
239,Hof,50.3167,11.9167,56.62,88,58,3.0,DE,1627939457
240,Saldanha,-33.0117,17.9442,55.45,74,0,6.15,ZA,1627939184
241,Avarua,-21.2078,-159.775,77.05,88,90,9.22,CK,1627939458
242,Port Hardy,50.6996,-127.4199,64.58,68,75,5.75,CA,1627939458
243,Niquelândia,-14.4739,-48.4597,79.39,27,86,6.62,BR,1627939458
244,Aasiaat,68.7098,-52.8699,41.9,89,16,16.24,GL,1627939459
245,Motygino,58.1831,94.7592,51.73,95,12,2.13,RU,1627939459
246,Camocim,-2.9022,-40.8411,78.73,70,22,8.01,BR,1627939460
247,Souillac,-20.5167,57.5167,59.38,88,20,8.05,MU,1627939280
248,Tasiilaq,65.6145,-37.6368,46.56,83,100,2.8,GL,1627939287
249,Maragogi,-9.0122,-35.2225,73.35,87,27,12.08,BR,1627939461
250,Kargasok,59.0556,80.8572,53.83,91,100,0.49,RU,1627939461
251,Geraldton,-28.7667,114.6,43.21,93,2,10.36,AU,1627939461
252,Yeniseysk,58.4497,92.1703,51.75,97,9,3.31,RU,1627939462
253,Liberty,31.8335,-81.5004,91.72,83,40,6.91,US,1627939170
254,Puerto El Triunfo,13.2833,-88.55,94.12,63,100,10.09,SV,1627939462
255,Gao,16.6362,1.637,86.68,48,97,14.83,ML,1627939463
256,Clyde River,70.4692,-68.5914,43.03,81,20,9.22,CA,1627939321
257,Dumpay,15.8807,120.389,77.23,93,100,1.72,PH,1627939463
258,Gimli,50.6336,-96.9907,89.44,73,10,5.75,CA,1627939282
259,Buraidah,26.326,43.975,86.45,9,7,2.28,SA,1627939338
260,Melo,-32.3667,-54.1833,52.88,85,10,5.82,UY,1627939464
261,Luanda,-8.8368,13.2343,73.4,88,0,10.36,AO,1627939464
262,Esterhazy,50.65,-102.0843,86.85,14,97,7.07,CA,1627939465
263,Saharsa,25.8833,86.6,79.61,91,83,5.03,IN,1627939465
264,Mahibadhoo,3.7833,72.9667,82.35,72,98,4.81,MV,1627939465
265,San Mateo Ixtatán,15.8319,-91.4781,71.15,61,99,5.99,GT,1627939466
266,Moose Factory,51.2585,-80.6094,73.4,64,75,9.22,CA,1627939466
267,Chegdomyn,51.1167,133.0167,66.06,99,100,0.72,RU,1627939467
268,Opuwo,-18.0607,13.84,63.46,31,0,3.09,NA,1627939278
269,Pajapan,18.25,-94.7,87.96,62,14,8.01,MX,1627939467
270,Narsaq,60.9167,-46.05,53.82,81,93,5.08,GL,1627939266
271,Ubari,26.5921,12.7805,91.54,9,0,6.73,LY,1627939445
272,Sun Prairie,43.1836,-89.2137,78.33,48,75,0.0,US,1627939169
273,Oyama,36.3,139.8,84.58,91,100,3.22,JP,1627939468
274,Yellowknife,62.456,-114.3525,90.12,25,75,9.22,CA,1627939468
275,Fairbanks,64.8378,-147.7164,84.02,47,1,1.01,US,1627939350
276,Shelburne,44.0787,-80.2041,74.75,31,50,10.25,CA,1627939469
277,Omsukchan,62.5333,155.8,34.75,95,98,6.82,RU,1627939469
278,Djibouti,11.5,42.5,78.22,52,98,1.52,DJ,1627939470
279,Kota Belud,6.351,116.4305,76.86,75,100,6.96,MY,1627939278
280,Leningradskiy,69.3833,178.4167,32.85,99,100,11.12,RU,1627939202
281,São Filipe,14.8961,-24.4956,76.6,82,33,5.44,CV,1627939126
282,Oranjemund,-28.55,16.4333,61.09,53,0,1.39,NA,1627939284
283,Hauterive,46.0901,3.4459,66.96,78,73,3.38,FR,1627939471
284,Yulara,-25.2406,130.9889,35.44,69,0,6.91,AU,1627939196
285,Sanjwal,33.7608,72.4336,85.95,62,85,4.09,PK,1627939471
286,Samarai,-10.6167,150.6667,78.8,79,75,13.0,PG,1627939391
287,Havelock,34.8791,-76.9013,84.43,87,96,7.36,US,1627939144
288,Anadyr,64.75,177.4833,41.5,93,90,24.0,RU,1627939472
289,Magdagachi,53.45,125.8,55.26,91,96,4.29,RU,1627939473
290,Haines Junction,60.7522,-137.5108,73.35,43,92,1.14,CA,1627939407
291,Departamento de Maldonado,-34.6667,-54.9167,47.23,88,30,4.79,UY,1627939347
292,Hofn,64.2539,-15.2082,53.64,86,88,9.15,IS,1627939346
293,Muscat,23.6139,58.5922,89.62,64,24,2.17,OM,1627939473
294,Lieksa,63.3167,30.0167,58.41,89,100,5.77,FI,1627939474
295,Carnarvon,-24.8667,113.6333,46.47,46,0,11.5,AU,1627939174
296,Kiunga,-6.1219,141.2906,69.13,95,81,2.66,PG,1627939474
297,Itaituba,-4.2761,-55.9836,80.76,89,40,5.75,BR,1627939327
298,Birjand,32.8663,59.2211,70.27,17,0,9.22,IR,1627939475
299,Santa Isabel Rio Negro,-0.4139,-65.0192,82.63,62,62,1.81,BR,1627939224
300,Lagoa,39.05,-27.9833,72.34,90,3,5.23,PT,1627939249
301,Seoul,37.5683,126.9778,76.51,100,0,4.61,KR,1627939166
302,Jadu,31.953,12.0261,88.84,16,5,16.69,LY,1627939476
303,Kaeo,-35.1,173.7833,56.32,78,21,18.05,NZ,1627939476
304,Pisco,-13.7,-76.2167,65.01,77,0,10.36,PE,1627939477
305,Encruzilhada do Sul,-30.5439,-52.5219,49.26,78,0,4.34,BR,1627939477
306,Salalah,17.0151,54.0924,78.89,89,90,5.75,OM,1627939280
307,Fomboni,-12.28,43.7425,76.39,72,0,11.07,KM,1627939245
308,Margate,51.3813,1.3862,62.04,73,100,1.01,GB,1627939478
309,Touros,-5.1989,-35.4608,76.1,78,31,17.4,BR,1627939478
310,São Miguel do Araguaia,-13.275,-50.1628,85.24,23,41,5.68,BR,1627939478
311,Merauke,-8.4667,140.3333,72.63,83,74,11.07,ID,1627939479
312,Mount Isa,-20.7333,139.5,64.17,34,75,17.27,AU,1627939287
313,Shādegān,30.6497,48.6647,94.91,12,0,7.11,IR,1627939479
314,Nikolskoye,59.7035,30.7861,63.39,99,100,5.32,RU,1627939167
315,Coyhaique,-45.5752,-72.0662,48.81,49,20,0.0,CL,1627939480
316,Rodolfo Sánchez Taboada,31.7167,-116.5667,76.1,75,16,3.0,MX,1627939480
317,Tsabong,-26.0217,22.401,53.89,27,0,2.19,BW,1627939481
318,Ahipara,-35.1667,173.1667,54.01,82,2,27.27,NZ,1627939388
319,Darhan,49.4867,105.9228,59.07,94,100,7.25,MN,1627939305
320,Oussouye,12.485,-16.5469,77.18,91,100,11.99,SN,1627939482
321,Suntar,62.1444,117.6319,56.68,91,38,1.97,RU,1627939482
322,Pacific Grove,36.6177,-121.9166,88.63,70,1,7.0,US,1627939244
323,Benton Harbor,42.1167,-86.4542,78.49,57,1,6.91,US,1627939483
324,Kieta,-6.2167,155.6333,79.2,85,35,3.67,PG,1627939483
325,Sawtell,-30.3833,153.1,63.19,96,75,16.11,AU,1627939483
326,Kruisfontein,-34.0033,24.7314,49.89,94,0,5.86,ZA,1627939484
327,Yar-Sale,66.8333,70.8333,55.11,94,100,6.31,RU,1627939485
328,Uarini,-2.99,-65.1083,87.75,49,83,2.1,BR,1627939485
329,Bandarbeyla,9.4942,50.8122,77.31,81,5,31.52,SO,1627939236
330,Yeppoon,-23.1333,150.7333,51.58,89,1,5.68,AU,1627939367
331,Markova,48.6758,24.4138,55.42,93,12,3.65,UA,1627939486
332,Wah,33.798,72.6957,85.01,64,91,2.24,PK,1627939486
333,Banda Aceh,5.5577,95.3222,79.21,78,95,13.2,ID,1627939318
334,Concepción del Oro,24.6333,-101.4167,74.05,37,100,2.33,MX,1627939487
335,Vila Franca do Campo,37.7167,-25.4333,70.21,78,0,7.14,PT,1627939487
336,Balezino,57.9796,53.0106,64.47,90,100,1.3,RU,1627939487
337,Chokurdakh,70.6333,147.9167,45.34,57,51,7.81,RU,1627939319
338,Mandera,3.9366,41.867,79.02,55,63,19.57,KE,1627939488
339,Rocha,-34.4833,-54.3333,48.94,88,34,3.67,UY,1627939488
340,Te Anau,-45.4167,167.7167,38.39,93,50,1.54,NZ,1627939306
341,San Patricio,28.017,-97.5169,97.52,35,23,7.16,US,1627939285
342,Paamiut,61.994,-49.6678,45.23,89,100,4.34,GL,1627939276
343,Necochea,-38.5473,-58.7368,58.03,58,17,12.17,AR,1627939336
344,Champerico,14.3,-91.9167,93.74,69,85,8.72,GT,1627939366
345,Nadvoitsy,63.8667,34.3167,57.7,84,100,6.49,RU,1627939490
346,Sitka,57.0531,-135.33,62.49,72,90,10.36,US,1627939290
347,Nabire,-3.3667,135.4833,75.15,92,96,3.11,ID,1627939490
348,Tautira,-17.7333,-149.15,82.42,75,100,15.64,PF,1627939298
349,Guatire,10.4762,-66.5427,83.7,89,21,3.02,VE,1627939273
350,Cap Malheureux,-19.9842,57.6142,59.49,61,0,3.76,MU,1627939491
351,Coquimbo,-29.9533,-71.3436,58.73,72,0,9.22,CL,1627939220
352,Katghora,22.5,82.55,74.97,90,98,3.76,IN,1627939492
353,Bāfq,31.6128,55.4107,87.46,13,58,6.11,IR,1627939492
354,Thinadhoo,0.5333,72.9333,81.18,72,100,2.89,MV,1627939281
355,Sørland,67.667,12.6934,46.47,72,100,11.25,NO,1627939493
356,San Quintín,30.4833,-115.95,79.11,56,2,14.54,MX,1627939493
